"PatchIndex","MethodName","MethodID","Operator","Patch","Compiled","AllTestsPassed","BaselineRuntime(ms)","PatchRuntime(ms)","RuntimeImprovement(ms)","ImprovementPercent"
"1","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","2","MatchedDeleteStatement","| gin.edit.matched.MatchedDeleteStatement ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":748 |","false","false","11.00","-1.00","12.00","109.09"
"2","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","2","MatchedCopyStatement","| gin.edit.matched.MatchedCopyStatement ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":1421 -> ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":707:708 |","false","false","11.00","-1.00","12.00","109.09"
"3","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","2","DeleteStatement","| gin.edit.statement.DeleteStatement ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":1073 |","true","true","11.00","12.00","-1.00","-9.09"
"4","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","CopyStatement","| gin.edit.statement.CopyStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":336 -> ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":726:726 |","false","false","70.00","-1.00","71.00","101.43"
"5","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","DeleteStatement","| gin.edit.statement.DeleteStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":726 |","false","false","70.00","-1.00","71.00","101.43"
"6","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","2","MatchedCopyStatement","| gin.edit.matched.MatchedCopyStatement ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":1083 -> ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":545:545 |","false","false","11.00","-1.00","12.00","109.09"
"7","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","MatchedReplaceStatement","| gin.edit.matched.MatchedReplaceStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":603 -> ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":726 |","true","true","70.00","69.00","1.00","1.43"
"8","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","2","ReplaceStatement","| gin.edit.statement.ReplaceStatement ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":150 -> ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":985 |","true","true","11.00","10.00","1.00","9.09"
"9","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","MatchedReplaceStatement","| gin.edit.matched.MatchedReplaceStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":242 -> ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":664 |","false","false","70.00","-1.00","71.00","101.43"
"10","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","2","CopyStatement","| gin.edit.statement.CopyStatement ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":303 -> ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":679:679 |","false","false","11.00","-1.00","12.00","109.09"
"11","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","2","DeleteStatement","| gin.edit.statement.DeleteStatement ""src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java"":590 |","false","false","11.00","-1.00","12.00","109.09"
"12","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","DeleteStatement","| gin.edit.statement.DeleteStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":700 |","true","true","70.00","60.00","10.00","14.29"
"13","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","MatchedSwapStatement","| gin.edit.matched.MatchedSwapStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":569 <-> ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":661 |","false","false","70.00","-1.00","71.00","101.43"
"14","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","1","ReplaceStatement","| gin.edit.statement.ReplaceStatement ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":386 -> ""src/main/java/com/google/gson/internal/bind/DefaultDateTypeAdapter.java"":709 |","false","false","70.00","-1.00","71.00","101.43"
