"MethodName","Iteration","EvaluationNumber","Patch","Compiled","AllTestsPassed","TotalExecutionTime(ms)","Memory(KB)","MemoryImprovement(KB)"
"org.jcodec.codecs.h264.decode.CoeffTransformer.org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","-1","0","|","true","true","1.777041","220.0","0.0"
"org.jcodec.codecs.h264.decode.CoeffTransformer.org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","1","1","| gin.edit.matched.MatchedDeleteStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":877 |","true","false","0.832583","1.7976931348623157E308","-1.7976931348623157E308"
"org.jcodec.codecs.h264.decode.CoeffTransformer.org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","2","2","|","true","true","0.364417","7.0","213.0"
"org.jcodec.codecs.h264.decode.CoeffTransformer.org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","3","3","| gin.edit.statement.ReplaceStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2232 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":876 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"org.jcodec.codecs.h264.decode.CoeffTransformer.org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","4","4","|","true","true","0.342042","7.0","213.0"
"org.jcodec.codecs.h264.decode.CoeffTransformer.org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","5","5","| gin.edit.matched.MatchedReplaceStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":3289 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":876 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"org.jcodec.codecs.h264.decode.CoeffTransformer.org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","6","6","| gin.edit.statement.SwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":876 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":876 |","true","true","0.329625","7.0","213.0"
"org.jcodec.codecs.h264.decode.CoeffTransformer.org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","7","7","| gin.edit.statement.CopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1799 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":876:876 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"org.jcodec.codecs.h264.decode.CoeffTransformer.org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","8","8","| gin.edit.matched.MatchedCopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1008 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":876:876 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"org.jcodec.codecs.h264.decode.CoeffTransformer.org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","9","9","| gin.edit.matched.MatchedSwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1683 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":877 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
