Metric,Value,Percentage
TotalPatches,100,100.00
CompilingPatches,38,38.00
PassingPatches,37,37.00
ImprovingPatches,2,2.00

Operator,Attempts,Passes,PassRate,Improvements,ImprovementRate
MatchedDeleteStatement,11,4,36.36,0,0.00
CopyStatement,8,0,0.00,0,0.00
MatchedReplaceStatement,13,2,15.38,0,0.00
ReplaceStatement,12,1,8.33,0,0.00
MatchedSwapStatement,11,3,27.27,1,9.09
MatchedCopyStatement,10,2,20.00,0,0.00
BinaryOperatorReplacement,16,15,93.75,1,6.25
UnaryOperatorReplacement,8,8,100.00,0,0.00
DeleteStatement,4,1,25.00,0,0.00
SwapStatement,7,1,14.29,0,0.00
