"PatchIndex","MethodName","MethodID","Operator","Patch","Compiled","AllTestsPassed","BaselineMemory(KB)","PatchMemory(KB)","MemoryImprovement(KB)","ImprovementPercent"
"1","org.jcodec.codecs.h264.decode.CoeffTransformer.fvdDC4x4(int[])","6","CopyStatement","| gin.edit.statement.CopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":4323 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2009:2028 |","false","false","7","-1","8","114.29"
"2","org.jcodec.codecs.h264.decode.CoeffTransformer.fvdDC4x4(int[])","6","MatchedDeleteStatement","| gin.edit.matched.MatchedDeleteStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1866 |","false","false","7","-1","8","114.29"
"3","org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","1","MatchedReplaceStatement","| gin.edit.matched.MatchedReplaceStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1525 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":877 |","false","false","220","-1","221","100.45"
"4","org.jcodec.codecs.h264.decode.CoeffTransformer.quantizeAC(int[],int)","4","BinaryOperatorReplacement","| gin.edit.modifynode.BinaryOperatorReplacement  ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2466 MINUS -> REMAINDER |","true","true","7","7","0","0.00"
"5","org.jcodec.codecs.h264.decode.CoeffTransformer.quantizeAC(int[],int)","4","BinaryOperatorReplacement","| gin.edit.modifynode.BinaryOperatorReplacement  ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2514 LESS -> GREATER_EQUALS |","true","true","7","7","0","0.00"
"6","org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","1","DeleteStatement","| gin.edit.statement.DeleteStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":877 |","true","false","220","-1","221","100.45"
"7","org.jcodec.codecs.h264.decode.CoeffTransformer.idct4x4(int[])","1","BinaryOperatorReplacement","|","true","true","220","7","213","96.82"
"8","org.jcodec.codecs.h264.decode.CoeffTransformer.fdct4x4(int[])","2","SwapStatement","| gin.edit.statement.SwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1344 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1494 |","true","true","7","7","0","0.00"
"9","org.jcodec.codecs.h264.decode.CoeffTransformer.invDC4x4(int[])","5","SwapStatement","| gin.edit.statement.SwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1603 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1747 |","false","false","7","-1","8","114.29"
"10","org.jcodec.codecs.h264.decode.CoeffTransformer.dequantizeAC(int[],int,int[])","3","SwapStatement","| gin.edit.statement.SwapStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2232 <-> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2322 |","false","false","7","-1","8","114.29"
