MethodID,Step,Operator,Success,ParentFitness,ChildFitness,Reward
1,1,DeleteStatement,false,220,-1,0.0000
1,2,MatchedDeleteStatement,false,220,-1,0.0000
1,3,MoveStatement,false,220,-1,0.0000
1,4,MatchedDeleteStatement,false,220,-1,0.0000
1,5,DeleteStatement,false,220,-1,0.0000
1,6,CopyStatement,false,220,-1,0.0000
1,7,MatchedReplaceStatement,false,220,-1,0.0000
1,8,ReplaceStatement,false,220,-1,0.0000
1,9,BinaryOperatorReplacement,true,220,7,31.4286
1,10,MatchedReplaceStatement,false,7,-1,0.0000
1,11,MatchedSwapStatement,false,7,-1,0.0000
1,12,ReplaceStatement,false,7,-1,0.0000
1,13,DeleteStatement,false,7,-1,0.0000
1,14,UnaryOperatorReplacement,true,7,7,1.0000
1,15,MatchedCopyStatement,false,7,-1,0.0000
1,16,MatchedDeleteStatement,false,7,-1,0.0000
1,17,DeleteStatement,false,7,-1,0.0000
1,18,MatchedCopyStatement,false,7,-1,0.0000
1,19,UnaryOperatorReplacement,true,7,7,1.0000
1,20,MatchedDeleteStatement,false,7,-1,0.0000
1,21,ReplaceStatement,false,7,-1,0.0000
1,22,BinaryOperatorReplacement,true,7,7,1.0000
1,23,SwapStatement,true,7,7,1.0000
1,24,MoveStatement,true,7,7,1.0000
1,25,SwapStatement,false,7,-1,0.0000
1,26,MatchedCopyStatement,false,7,-1,0.0000
1,27,MatchedSwapStatement,false,7,-1,0.0000
1,28,DeleteStatement,false,7,-1,0.0000
1,29,MoveStatement,true,7,7,1.0000
1,30,CopyStatement,true,7,7,1.0000
1,31,MatchedDeleteStatement,false,7,-1,0.0000
1,32,CopyStatement,false,7,-1,0.0000
1,33,CopyStatement,false,7,-1,0.0000
1,34,DeleteStatement,false,7,-1,0.0000
1,35,UnaryOperatorReplacement,true,7,7,1.0000
1,36,MoveStatement,false,7,-1,0.0000
1,37,MatchedSwapStatement,false,7,-1,0.0000
1,38,SwapStatement,false,7,-1,0.0000
1,39,ReplaceStatement,false,7,-1,0.0000
1,40,MatchedCopyStatement,false,7,-1,0.0000
1,41,DeleteStatement,false,7,-1,0.0000
1,42,MatchedSwapStatement,false,7,-1,0.0000
1,43,MatchedCopyStatement,false,7,-1,0.0000
1,44,MoveStatement,true,7,7,1.0000
1,45,MatchedCopyStatement,false,7,-1,0.0000
1,46,MoveStatement,false,7,-1,0.0000
1,47,SwapStatement,true,7,7,1.0000
1,48,SwapStatement,true,7,7,1.0000
1,49,MatchedReplaceStatement,false,7,-1,0.0000
1,50,BinaryOperatorReplacement,true,7,7,1.0000
1,51,DeleteStatement,false,7,-1,0.0000
1,52,BinaryOperatorReplacement,true,7,7,1.0000
1,53,ReplaceStatement,false,7,-1,0.0000
1,54,UnaryOperatorReplacement,true,7,7,1.0000
1,55,SwapStatement,false,7,-1,0.0000
1,56,CopyStatement,false,7,-1,0.0000
1,57,MatchedReplaceStatement,false,7,-1,0.0000
1,58,UnaryOperatorReplacement,true,7,7,1.0000
1,59,CopyStatement,false,7,-1,0.0000
1,60,UnaryOperatorReplacement,true,7,7,1.0000
1,61,BinaryOperatorReplacement,true,7,7,1.0000
1,62,MoveStatement,true,7,7,1.0000
1,63,UnaryOperatorReplacement,true,7,7,1.0000
1,64,ReplaceStatement,false,7,-1,0.0000
1,65,MatchedDeleteStatement,false,7,-1,0.0000
1,66,ReplaceStatement,false,7,-1,0.0000
1,67,MatchedSwapStatement,false,7,-1,0.0000
1,68,MatchedDeleteStatement,false,7,-1,0.0000
1,69,UnaryOperatorReplacement,true,7,7,1.0000
1,70,CopyStatement,false,7,-1,0.0000
1,71,ReplaceStatement,false,7,-1,0.0000
1,72,MatchedReplaceStatement,false,7,-1,0.0000
1,73,MatchedSwapStatement,false,7,-1,0.0000
1,74,MoveStatement,true,7,7,1.0000
1,75,BinaryOperatorReplacement,true,7,7,1.0000
1,76,MatchedCopyStatement,false,7,-1,0.0000
1,77,SwapStatement,true,7,7,1.0000
1,78,UnaryOperatorReplacement,true,7,7,1.0000
1,79,MatchedCopyStatement,false,7,-1,0.0000
1,80,UnaryOperatorReplacement,true,7,7,1.0000
1,81,SwapStatement,true,7,7,1.0000
1,82,DeleteStatement,false,7,-1,0.0000
1,83,ReplaceStatement,false,7,-1,0.0000
1,84,MatchedSwapStatement,true,7,7,1.0000
1,85,DeleteStatement,false,7,-1,0.0000
1,86,CopyStatement,false,7,-1,0.0000
1,87,SwapStatement,true,7,7,1.0000
1,88,ReplaceStatement,false,7,-1,0.0000
1,89,BinaryOperatorReplacement,true,7,7,1.0000
1,90,MatchedReplaceStatement,false,7,-1,0.0000
1,91,ReplaceStatement,false,7,-1,0.0000
1,92,SwapStatement,false,7,-1,0.0000
1,93,BinaryOperatorReplacement,true,7,7,1.0000
1,94,SwapStatement,false,7,-1,0.0000
1,95,CopyStatement,false,7,-1,0.0000
1,96,BinaryOperatorReplacement,true,7,7,1.0000
1,97,MatchedCopyStatement,false,7,-1,0.0000
1,98,MatchedDeleteStatement,false,7,-1,0.0000
1,99,MatchedCopyStatement,false,7,-1,0.0000
2,1,CopyStatement,false,7,-1,0.0000
2,2,MatchedReplaceStatement,false,7,-1,0.0000
2,3,ReplaceStatement,false,7,-1,0.0000
2,4,MatchedSwapStatement,false,7,-1,0.0000
2,5,MatchedCopyStatement,false,7,-1,0.0000
2,6,MoveStatement,false,7,-1,0.0000
2,7,MatchedReplaceStatement,false,7,-1,0.0000
2,8,DeleteStatement,false,7,-1,0.0000
2,9,DeleteStatement,false,7,-1,0.0000
2,10,MatchedSwapStatement,false,7,-1,0.0000
2,11,ReplaceStatement,false,7,-1,0.0000
2,12,MatchedReplaceStatement,false,7,-1,0.0000
2,13,CopyStatement,false,7,-1,0.0000
2,14,BinaryOperatorReplacement,true,7,7,1.0000
2,15,SwapStatement,false,7,-1,0.0000
2,16,BinaryOperatorReplacement,true,7,7,1.0000
2,17,MatchedReplaceStatement,false,7,-1,0.0000
2,18,BinaryOperatorReplacement,true,7,7,1.0000
2,19,DeleteStatement,false,7,-1,0.0000
2,20,SwapStatement,false,7,-1,0.0000
2,21,ReplaceStatement,false,7,-1,0.0000
2,22,ReplaceStatement,false,7,-1,0.0000
2,23,MatchedReplaceStatement,false,7,-1,0.0000
2,24,BinaryOperatorReplacement,true,7,7,1.0000
2,25,MoveStatement,false,7,-1,0.0000
2,26,MatchedReplaceStatement,false,7,-1,0.0000
2,27,UnaryOperatorReplacement,true,7,7,1.0000
2,28,MatchedReplaceStatement,false,7,-1,0.0000
2,29,CopyStatement,false,7,-1,0.0000
2,30,UnaryOperatorReplacement,true,7,7,1.0000
2,31,ReplaceStatement,false,7,-1,0.0000
2,32,SwapStatement,true,7,7,1.0000
2,33,MoveStatement,true,7,7,1.0000
2,34,CopyStatement,false,7,-1,0.0000
