Metric,Value,Percentage
TotalPatches,100,100.00
CompilingPatches,41,41.00
PassingPatches,37,37.00
ImprovingPatches,7,7.00

Operator,Attempts,Passes,PassRate,Improvements,ImprovementRate
MatchedDeleteStatement,16,4,25.00,0,0.00
CopyStatement,9,1,11.11,0,0.00
MatchedReplaceStatement,9,0,0.00,0,0.00
ReplaceStatement,8,0,0.00,0,0.00
MatchedSwapStatement,6,0,0.00,0,0.00
MatchedCopyStatement,10,1,10.00,0,0.00
BinaryOperatorReplacement,8,8,100.00,2,25.00
UnaryOperatorReplacement,14,14,100.00,3,21.43
DeleteStatement,11,5,45.45,0,0.00
SwapStatement,9,4,44.44,2,22.22
