"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue","NoOp","EditsValid"
"1","1","| gin.edit.statement.CopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":3639 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2009:2086 |","6","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"2","1","| gin.edit.statement.ReplaceStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":3323 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1924 |","6","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"3","0","|","1","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","true","true","1964083","1712000","false","N/A","N/A","N/A","N/A","true",""
"4","1","| gin.edit.matched.MatchedReplaceStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":3258 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2431 |","4","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"5","1","| gin.edit.matched.MatchedCopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":3744 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2384:2384 |","4","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"6","0","|","1","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","true","true","624500","574000","false","N/A","N/A","N/A","N/A","true",""
"7","0","|","1","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","true","true","338834","337000","false","N/A","N/A","N/A","N/A","true",""
"8","1","| gin.edit.statement.CopyStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1008 -> ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1405:1405 |","2","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"9","1","| gin.edit.statement.DeleteStatement ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":1585 |","5","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"10","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""../jcodec/src/main/java/org/jcodec/codecs/h264/decode/CoeffTransformer.java"":2174 REMAINDER -> UNSIGNED_RIGHT_SHIFT |","3","1","org.jcodec.codecs.h264.CoeffTransformerTest.testDCT []","1","true","true","true","382041","379000","false","N/A","N/A","N/A","N/A","false","1"
