MethodID,Step,Operator,Success,ParentMemory(KB),ChildMemory(KB),Reward
1,1,MatchedDeleteStatement,false,220,-1,0.0000
1,2,BinaryOperatorReplacement,true,220,7,31.4286
1,3,ReplaceStatement,false,7,-1,0.0000
1,4,UnaryOperatorReplacement,true,7,7,1.0000
1,5,MatchedReplaceStatement,false,7,-1,0.0000
1,6,SwapStatement,true,7,7,1.0000
1,7,CopyStatement,false,7,-1,0.0000
1,8,MatchedCopyStatement,false,7,-1,0.0000
1,9,MatchedSwapStatement,false,7,-1,0.0000
1,10,MoveStatement,false,7,-1,0.0000
1,11,DeleteStatement,false,7,-1,0.0000
1,12,BinaryOperatorReplacement,true,7,7,1.0000
1,13,BinaryOperatorReplacement,true,7,7,1.0000
1,14,BinaryOperatorReplacement,true,7,7,1.0000
1,15,BinaryOperatorReplacement,true,7,7,1.0000
1,16,BinaryOperatorReplacement,true,7,7,1.0000
1,17,BinaryOperatorReplacement,true,7,7,1.0000
1,18,BinaryOperatorReplacement,true,7,7,1.0000
1,19,BinaryOperatorReplacement,true,7,7,1.0000
1,20,BinaryOperatorReplacement,true,7,7,1.0000
1,21,BinaryOperatorReplacement,true,7,7,1.0000
1,22,BinaryOperatorReplacement,true,7,7,1.0000
1,23,BinaryOperatorReplacement,true,7,7,1.0000
1,24,BinaryOperatorReplacement,true,7,7,1.0000
1,25,BinaryOperatorReplacement,true,7,7,1.0000
1,26,BinaryOperatorReplacement,true,7,7,1.0000
1,27,SwapStatement,false,7,-1,0.0000
1,28,UnaryOperatorReplacement,true,7,7,1.0000
1,29,BinaryOperatorReplacement,true,7,7,1.0000
1,30,BinaryOperatorReplacement,true,7,7,1.0000
1,31,BinaryOperatorReplacement,true,7,7,1.0000
1,32,BinaryOperatorReplacement,true,7,7,1.0000
1,33,BinaryOperatorReplacement,true,7,7,1.0000
1,34,BinaryOperatorReplacement,true,7,7,1.0000
1,35,BinaryOperatorReplacement,true,7,7,1.0000
1,36,UnaryOperatorReplacement,true,7,7,1.0000
1,37,BinaryOperatorReplacement,true,7,7,1.0000
1,38,BinaryOperatorReplacement,true,7,7,1.0000
1,39,BinaryOperatorReplacement,true,7,7,1.0000
1,40,DeleteStatement,false,7,-1,0.0000
1,41,CopyStatement,false,7,-1,0.0000
1,42,ReplaceStatement,false,7,-1,0.0000
1,43,MoveStatement,true,7,7,1.0000
1,44,MatchedDeleteStatement,false,7,-1,0.0000
1,45,MatchedCopyStatement,false,7,-1,0.0000
