MethodID,Step,Operator,Success,ParentFitness,ChildFitness,Reward
1,1,ReplaceStatement,false,220,-1,0.0000
1,2,BinaryOperatorReplacement,true,220,7,31.4286
1,3,MatchedSwapStatement,false,7,-1,0.0000
1,4,ReplaceStatement,false,7,-1,0.0000
1,5,UnaryOperatorReplacement,true,7,7,1.0000
1,6,MatchedDeleteStatement,false,7,-1,0.0000
1,7,MatchedReplaceStatement,false,7,-1,0.0000
1,8,MatchedDeleteStatement,false,7,-1,0.0000
1,9,UnaryOperatorReplacement,true,7,7,1.0000
1,10,MoveStatement,true,7,7,1.0000
1,11,MatchedSwapStatement,false,7,-1,0.0000
1,12,MatchedReplaceStatement,false,7,-1,0.0000
1,13,CopyStatement,false,7,-1,0.0000
1,14,UnaryOperatorReplacement,true,7,7,1.0000
1,15,MatchedSwapStatement,false,7,-1,0.0000
1,16,MatchedSwapStatement,false,7,-1,0.0000
1,17,SwapStatement,true,7,7,1.0000
1,18,UnaryOperatorReplacement,true,7,7,1.0000
1,19,MoveStatement,true,7,7,1.0000
1,20,MatchedReplaceStatement,false,7,-1,0.0000
1,21,ReplaceStatement,false,7,-1,0.0000
1,22,SwapStatement,true,7,7,1.0000
1,23,ReplaceStatement,false,7,-1,0.0000
1,24,MatchedDeleteStatement,false,7,-1,0.0000
1,25,MatchedCopyStatement,false,7,-1,0.0000
1,26,MatchedCopyStatement,false,7,-1,0.0000
1,27,MoveStatement,false,7,-1,0.0000
1,28,CopyStatement,false,7,-1,0.0000
1,29,DeleteStatement,false,7,-1,0.0000
1,30,CopyStatement,false,7,-1,0.0000
1,31,ReplaceStatement,false,7,-1,0.0000
1,32,MatchedSwapStatement,false,7,-1,0.0000
1,33,MatchedCopyStatement,false,7,-1,0.0000
1,34,MatchedDeleteStatement,false,7,-1,0.0000
1,35,BinaryOperatorReplacement,true,7,7,1.0000
1,36,UnaryOperatorReplacement,true,7,7,1.0000
1,37,BinaryOperatorReplacement,true,7,7,1.0000
1,38,MatchedReplaceStatement,false,7,-1,0.0000
1,39,MatchedSwapStatement,false,7,-1,0.0000
1,40,SwapStatement,false,7,-1,0.0000
1,41,MatchedCopyStatement,false,7,-1,0.0000
1,42,MatchedCopyStatement,false,7,-1,0.0000
1,43,DeleteStatement,false,7,-1,0.0000
1,44,BinaryOperatorReplacement,true,7,7,1.0000
1,45,MatchedSwapStatement,false,7,-1,0.0000
1,46,CopyStatement,false,7,-1,0.0000
1,47,SwapStatement,false,7,-1,0.0000
1,48,MatchedCopyStatement,false,7,-1,0.0000
1,49,MatchedReplaceStatement,false,7,-1,0.0000
1,50,MatchedCopyStatement,false,7,-1,0.0000
1,51,MoveStatement,true,7,7,1.0000
1,52,SwapStatement,false,7,-1,0.0000
1,53,ReplaceStatement,false,7,-1,0.0000
1,54,UnaryOperatorReplacement,true,7,7,1.0000
1,55,MatchedDeleteStatement,false,7,-1,0.0000
1,56,SwapStatement,false,7,-1,0.0000
1,57,MoveStatement,false,7,-1,0.0000
1,58,SwapStatement,false,7,-1,0.0000
1,59,MatchedReplaceStatement,false,7,-1,0.0000
1,60,UnaryOperatorReplacement,true,7,7,1.0000
