Metric,Value,Percentage
TotalPatches,100,100.00
CompilingPatches,31,31.00
PassingPatches,0,0.00
ImprovingPatches,0,0.00

Operator,Attempts,Passes,PassRate,Improvements,ImprovementRate
MatchedDeleteStatement,12,0,0.00,0,0.00
CopyStatement,9,0,0.00,0,0.00
MatchedReplaceStatement,14,0,0.00,0,0.00
ReplaceStatement,11,0,0.00,0,0.00
MatchedSwapStatement,11,0,0.00,0,0.00
MatchedCopyStatement,10,0,0.00,0,0.00
BinaryOperatorReplacement,15,0,0.00,0,0.00
UnaryOperatorReplacement,8,0,0.00,0,0.00
DeleteStatement,6,0,0.00,0,0.00
SwapStatement,4,0,0.00,0,0.00
