MethodID,Step,Operator,Success,ParentRuntime(ms),ChildRuntime(ms),Reward
1,1,SwapStatement,false,7740.00,-1.00,0.0000
1,2,MatchedReplaceStatement,false,7740.00,-1.00,0.0000
1,3,MoveStatement,false,7740.00,-1.00,0.0000
1,4,LLMMaskedStatement,false,7740.00,-1.00,0.0000
1,5,ReplaceStatement,false,7740.00,-1.00,0.0000
1,6,MatchedDeleteStatement,false,7740.00,-1.00,0.0000
1,7,MatchedCopyStatement,false,7740.00,-1.00,0.0000
1,8,UnaryOperatorReplacement,false,7740.00,-1.00,0.0000
1,9,CopyStatement,false,7740.00,-1.00,0.0000
1,10,DeleteStatement,false,7740.00,-1.00,0.0000
1,11,LLMReplaceStatement,false,7740.00,-1.00,0.0000
1,12,MatchedSwapStatement,false,7740.00,-1.00,0.0000
1,13,BinaryOperatorReplacement,false,7740.00,-1.00,0.0000
1,14,DeleteStatement,false,7740.00,-1.00,0.0000
1,15,CopyStatement,false,7740.00,-1.00,0.0000
1,16,ReplaceStatement,false,7740.00,-1.00,0.0000
1,17,SwapStatement,false,7740.00,-1.00,0.0000
1,18,MoveStatement,false,7740.00,-1.00,0.0000
1,19,MatchedDeleteStatement,false,7740.00,-1.00,0.0000
1,20,MatchedCopyStatement,false,7740.00,-1.00,0.0000
1,21,MatchedReplaceStatement,false,7740.00,-1.00,0.0000
1,22,MatchedSwapStatement,false,7740.00,-1.00,0.0000
1,23,BinaryOperatorReplacement,false,7740.00,-1.00,0.0000
1,24,UnaryOperatorReplacement,false,7740.00,-1.00,0.0000
1,25,LLMMaskedStatement,false,7740.00,-1.00,0.0000
